AQW00061705         324C   301C   335C   312C   302C   269C   256C   257C   270C   290C   298C   321C
USC00207364           0R     0R     0R     0R -7777R     4R    11R     7R     1R -7777R     0R     0R
USC00207515           0R     0R     0R     0R -7777R    10R    32R    16R     2R     0R     0R     0R
USC00207684           0Q     0Q     0Q     0Q     3Q    23Q    31Q    17Q     4Q     1Q     0Q     0Q
USC00207690           0S     0S     0S -7777S     4S    29S    67S    57S    15S     1S     0S     0S
USC00207812           0S     0S     0S -7777C -7777C     3C     9C     4C     1S     0C     0S     0S
USC00207820           0S     0S     0C -7777S     1C    14S    29S    16S     2S     1S     0C     0S
USC00207867           0S     0S     0S -7777S -7777S     9S    21R    11S     2S -7777S     0S     0S
USC00208043           0S     0S     0S     0S -7777S     4S     9S     5S     1S -7777S     0R     0S
USC00208080           0Q     0Q     0Q     0Q     3Q    39Q    62Q    35Q     6Q     1Q     0Q     0Q
USC00208184           0C     0C     0C -7777S     6S    43S    75S    46C    12C     1C     0C     0S
USC00208202           0Q     0Q     0Q     0Q     3Q    30Q    52Q    32Q     5Q     1Q     0Q     0Q
USC00208249           0Q     0Q     0Q     0Q     3Q    20Q    42Q    21Q     6Q     1Q     0Q     0Q
USC00208293           0S     0S     0S     0R -7777R     3R     9S     7S     1S -7777S     0S     0S
USC00208345           0Q     0Q     0Q     0Q     0Q     1Q     6Q     7Q     2Q     0Q     0Q     0Q
USC00208417           0S     0S     0S -7777S     1S    12S    22S     9S     2S -7777S     0S     0S
USC00208443           0Q     0Q     0Q -7777Q     1Q    12Q    27Q    15Q     3Q -7777Q     0Q     0Q
USC00208680           0R     0R     0R     0R     1R     6R    12R     7R     2R     0R     0R     0R
USC00208706           0Q     0Q     0Q     0Q     0Q     3Q     9Q     4Q     2Q     0Q     0Q     0Q
USC00208774           0Q     0Q     0Q     0Q     3Q    17Q    33Q    22Q     8Q     1Q     0Q     0Q
USC00208800           0C     0C     0C -7777C     1C    12C    26S    14C     1C -7777C     0C     0C
USC00208920           0S     0S     0S     0S     0S -7777S     5S     5S     2S     0S     0S     0S
USC00208941           0R     0R     0R -7777R     2R    19R    31R    23R     4R     1R     0R     0R
USC00208972           0Q     0Q     0Q     0Q -7777Q     9Q    29Q    18Q     3Q     0Q     0Q     0Q
USC00209188           0Q     0Q     0Q     0Q -7777Q    12Q    30Q    13Q     4Q -7777Q     0Q     0Q
USC00210018           0S     0S     0S -7777R     2S    20S    43S    38S     6S -7777S     0S     0S
USC00210050           0S     0S     0S -7777S     3R    19R    42R    30R     5R -7777S     0S     0S
USC00210059           0R     0R     0R     0R     1R     7R    21R    13R     1R     0S     0S     0S
USC00210075           0C     0C -7777S -7777C     4S    35C    70C    41C     7C     1C     0C     0C
USC00210157           0R     0R     0R -7777R    11R    50R    89R    48R    12R     1R     0R     0R
USC00210190           0Q     0Q     0Q     0Q     2Q    15Q    34Q    25Q     7Q     0Q     0Q     0Q
USC00210252           0C     0C     0C -7777C     2C    12C    25C    23C     3C -7777C     0C     0C
USC00210287           0C     0C     0C -7777C     5C    30C    63C    38C     8C -7777C     0C     0S
USC00210355           0C     0S     0S -7777S     3S    29S    52S    31S     6S     1C     0C     0C
USC00210387           0R     0R     0R     0R -7777R     6R    19R    13R     3R     0R     0R     0R
USC00210515           0R     0R     0R     0R     1R    13R    31S    20S     2R     0R     0R     0R
USC00210564           0Q     0Q     0Q     0Q     0Q -7777Q     8Q     2Q     1Q     0Q     0Q     0Q
USC00210643           0R     0R     0R     0R -7777R     9R    23R    16R     3R     0R     0R     0R
USC00210667           0S     0S     0S -7777S     5S    32S    63S    38S     7S -7777S     0S     0S
USC00210746           0R     0R     0R -7777S     2S     9R    24R    17S     3R     0R     0R     0R
USC00210809           0R     0R     0R -7777R -7777R     4R    16R    11R     1R     0R     0R     0R
USC00210939           0C     0C     0C     0C     1C    11S    32C    20C     3C     0S     0C     0C
USC00210973           0Q     0Q     0Q     0Q     3Q    24Q    70Q    49Q     8Q     0Q     0Q     0Q
USC00210989           0R     0R     0R     0R -7777R     3R     8R     5R     1R     0R     0R     0R
USC00211063           0S     0S     0S -7777S     3S    26S    67S    45S     8R -7777S     0R     0S
USC00211065           0Q     0Q     0Q     0Q     7Q    23Q    59Q    33Q     6Q -7777Q     0Q     0Q
USC00211074           0R     0R     0R -7777R     1R     5R    19R    11R     2R     0R     0R     0R
USC00211107           0S     0S     0R -7777R     3S    28S    63S    35S     5S -7777S     0S     0S
USC00211174           0R     0R     0R -7777R     3R    20R    48R    26R     4R -7777R     0R     0R
USC00211198           0S     0S -7777S -7777S     2S    24S    51S    32S     5S -7777C     0C     0C
USC00211227           0R     0R     0R -7777R     3R    24R    54R    32R     3R -7777R     0R     0R
USC00211245           0R     0R     0R -7777R     4R    26R    53R    38R     5R -7777R     0R     0R
USC00211250           0Q     0Q     0Q     0Q -7777Q     6Q    20Q    17Q     3Q     0Q     0Q     0Q
USC00211263           0C     0C     0C -7777C     5C    38S    86C    54C    11C -7777C     0C     0C
USC00211374           0S     0C     0S -7777C     1C    13C    31C    21S     3C -7777S     0S     0S
USC00211390           0R     0R     0R     1R     4R    24R    56R    33R     6R -7777R     0R     0R
USC00211448           0R     0R     0R -7777R     7R    29R    66R    38R     7R     1R     0R     0R
USC00211465           0R     0R     0R     1R     7R    53R   105R    64R    14R -7777R     0R     0R
USC00211468           0Q     0Q     0Q     0Q     4Q    22Q    59Q    33Q     7Q -7777Q     0Q     0Q
USC00211630           0C     0C     0C     0C -7777C     5C    20S    12S     2C -7777C     0C     0C
USC00211691           0C     0C     0C -7777C     5C    32C    76C    46C     8C -7777C     0C     0S
USC00211771           0Q     0Q     0Q -7777Q -7777Q     7Q    18Q    12Q     2Q     0Q     0Q     0Q
USC00211776           0R     0R     0R     0R -7777R     9R    19R    12R     2R     0R     0R     0R
USC00211840           0R     0R     0R     0R -7777R     5R    10R     5R     1R     0R     0R     0R
USC00211891           0C     0C     0S -7777S     3C    19S    36S    29S     5S -7777C     0C     0C
USC00212015           0Q     0Q     0Q -7777Q     3Q     8Q    50Q    43Q     9Q     0Q     0Q     0Q
USC00212023           0Q     0Q     0Q -7777Q     5Q    22Q    71Q    49Q    10Q     0Q     0Q     0Q
USC00212050           0R     0S     0S -7777R     2R    11R    34R    21R     3R -7777S     0R     0R
USC00212088           0R     0R     0R -7777R     4R    29R    65R    30R     4R -7777R     0R     0R
USC00212142           0R     0R     0R -7777R     3R    28R    59R    49R     9R -7777R     0S     0R
USC00212246           0R     0R     0R     0R -7777R     2R    15R    10R     1R     0R     0R     0R
USC00212500           0Q     0Q     0Q     0Q     2Q    25Q    66Q    41Q     8Q     0Q     0Q     0Q
USC00212543           0R     0R     0R     0R -7777R     5R    16R    13R     2R     0R     0R     0R
USC00212555           0Q     0Q     0Q     0Q -7777Q     5Q    19Q    15Q     4Q     0Q     0Q     0Q
USC00212576           0R     0R     0R     0R -7777R     3R     4R     2R     1R     0R     0R     0R
USC00212645           0R     0R     0R     0R -7777R     6R    17R     9R     1R     0R     0R     0R
USC00212698           0C     0C     0C -7777S     6C    46C    91C    60C    12C     1C     0C     0S
USC00212721           0S     0S -7777C -7777C     3S    31S    60S    36C     7S -7777S     0S     0S
USC00212737           0S     0S -7777S -7777S     5S    35S    70S    39S     9S     1S     0S     0S
USC00212768           0R     0R     0R -7777R     3R    25R    51R    38R     7R -7777R     0R     0R
USC00212842           0R     0R     0R -7777R -7777R     3R    12R     7R     1R     0R     0R     0R
USC00212881           0S     0C     0C -7777C     3C    31S    64S    40S     6S -7777S     0C     0S
USC00212916           0S     0S     0S -7777S     2S     9S    22S    15S     3R -7777S     0S     0S
USC00213076           0S     0S     0S -7777S     4S    37S    76S    41C     6C -7777C     0C     0S
USC00213104           0S     0S     0S -7777S     5S    27S    55S    42S     8S -7777S     0S     0S
USC00213174           0S     0C     0C -7777C     3C    24C    55C    37C     6C -7777C     0C     0C
USC00213282           0C     0C     0C     0C     0S -7777S     2C     2C -7777C     0C     0C     0C
USC00213290           0S     0S     0S -7777S     2S    21S    37S    24S     4S -7777S     0S     0S
USC00213296           0R     0R     0R     0R     0R     1R     2R     4R -7777R     0R     0R     0R
USC00213303           0C     0C     0C     0C     1C    10C    28C    18C     3C     0C     0C     0C
USC00213311           0Q     0Q     0Q     0Q     3Q    16Q    55Q    37Q     9Q     0Q     0Q     0Q
USC00213411           0S     0S     0S -7777S     1S    11S    36S    23S     3S     0S     0S     0S
USC00213417           0R     0R     0R     0R -7777R     3R    13R     8R     2R     0R     0R     0R
USC00213455           0R     0R     0R -7777R     2R    19R    33R    30R     4R     0R     0R     0R
USC00213567           0R     0R     0R -7777R     4R    31R    72R    44R     8R -7777R     0R     0R
USC00213793           0R     0S     0S -7777S     1S     9S    24S    12S     1R     0S     0S     0R
USC00213962           0S     0S -7777S -7777S     4S    36S    73S    38S     7S -7777S     0S     0S
USC00214103           0S     0S     0R -7777R     1S     8S    25S    13S     2S     0S     0S     0S
USC00214106           0S     0S     0S -7777S     1S     7S    19S    14S     2S -7777S     0S     0S
USC00214176           0R     0R     0R     1R     3S    27R    50R    28S     6S -7777S     0R     0S
USC00214191           0Q     0Q     0Q     0Q -7777Q     4Q    11Q     9Q     2Q     0Q     0Q     0Q
USC00214306           0R     0R     0R     0R -7777R     3R    13R    13R     2R     0R     0R     0R
USC00214373           0Q     0Q     0Q     0Q -7777Q     2Q    19Q    17Q     2Q     0Q     0Q     0Q
USC00214453           0R     0R     0R -7777R     6R    24R    52R    29R     4R -7777R     0R     0R
USC00214534           0S     0S     0S -7777S     3S    32S    71S    44S    10S -7777S     0S     0S
USC00214546           0S     0S -7777S -7777S     8S    41S    72S    40S     9S -7777S     0S     0S
USC00214652           0S     0S     0C -7777S     1C    11S    28S    17C     2C     0C     0C     0S
USC00214778           0S     0S     0S -7777S     3S    32S    64S    36S     5S -7777S     0S     0S
USC00214793           0C     0C     0S -7777S     4S    26S    68C    45C     7C -7777C     0C     0C
USC00214809           0R     0R     0R -7777R -7777R     6R    14R    10R     2R     0R     0R     0R
USC00214861           0S     0S     0S -7777S     1S    20S    38S    22S     2S -7777S     0S     0S
USC00214884           0R     0R     0R -7777R    12R    66R   140R    93R    21R     1R     0R     0R
USC00214918           0R     0R     0R     0R -7777R     2R     4R     2R -7777R     0R     0R     0R
USC00214937           0R     0R     0R -7777R     4R    39R    85R    52R    11R -7777R     0R     0R
USC00214994           0C     0C     0S -7777S     5S    39S    79S    46S     9S -7777S     0S     0S
USC00215012           0R     0R     0R -7777R     3R    16R    37R    32R     5R -7777R     0R     0R
USC00215073           0R     0R -7777R -7777R     7R    40R    76R    48R    10R     1R     0R     0R
USC00215175           0R     0R     0R     0R -7777R     5R    12R    10R     1R     0R     0R     0R
USC00215204           0S     0S     0S -7777S     6S    39S    82S    51S    12S -7777S     0S     0S
USC00215325           0R     0S     0S -7777R     2S    19S    44S    24S     4S     0S     0S     0S
USC00215392           0S     0S     0S -7777S     1S    16S    36S    18S     2S     0S     0S     0S
USC00215400           0S     0S     0S     1S    10S    45S    84S    54S    14S     1S     0S     0S
USC00215563           0R     0R     0R -7777R     5R    30R    67R    39R     7R -7777R     0S     0R
USC00215586           0R     0R     0R -7777R     5R    25R    65R    51R     9R -7777R     0R     0R
USC00215598           0S     0S     0S -7777S -7777S     8S    31S    22S     3S -7777S     0S     0S
USC00215615           0R     0R     0R -7777R     2R    17R    40R    21R     4R -7777R     0R     0R
USC00215638           0C     0C     0C -7777C     4C    26C    48C    29C     5S -7777S     0C     0C
USC00215838           0R     0R     0R     1R     6R    32R    83R    47R     9R -7777R     0R     0R
USC00215842           0S     0S     0S -7777S     5S    35S    74S    47S     9S -7777S     0S     0S
USC00215887           0S     0S     0S -7777S     6S    44S    90S    53S    10S -7777S     0S     0S
USC00215902           0Q     0Q     0Q     0Q     2Q    10Q    35Q    19Q     3Q     0Q     0Q     0Q
USC00215989           0Q     0Q     0Q     0Q     0Q     1Q     5Q     4Q     1Q     0Q     0Q     0Q
USC00216148           0R     0R     0R     0R     1R    13R    29R    25R     2R -7777R     0R     0R
USC00216152           0S     0S -7777S -7777S     5S    33S    63S    34S     5S -7777S     0S     0S
USC00216211           0Q     0Q     0Q     0Q     0Q     1Q     2Q     3Q     2Q     0Q     0Q     0Q
USC00216228           0Q     0Q     0Q -7777Q     3Q    33Q    60Q    48Q     9Q -7777Q     0Q     0Q
USC00216276           0S     0S     0S -7777S     2S    26S    52R    36R     6R -7777S     0S     0R
USC00216287           0S     0S -7777S -7777S     4S    38S    72S    46S    10S     1S     0S     0S
USC00216547           0S     0S     0S -7777S     2S    12S    35S    21S     3S     0S     0S     0S
USC00216565           0S     0S     0S -7777S     3S    32S    71S    43S     9S -7777C     0S     0S
USC00216612           0Q     0Q     0Q -7777Q     1Q     9Q    24Q    17Q     2Q -7777Q     0Q     0Q
USC00216654           0S     0S -7777S -7777S     3S    26S    54S    38S     8S     1S     0S     0S
USC00216787           0S     0S     0S -7777S     2S    14S    30S    25S     3S -7777S     0S     0S
USC00216795           0S     0S     0S -7777S     2S    14S    33R    25R     4R -7777R     0R     0R
USC00216822           0R     0R -7777R -7777R     6R    31R    76R    46R    10R     1R     0R     0R
USC00216839           0Q     0Q     0Q     0Q -7777Q     9Q    53Q    44Q     4Q     0Q     0Q     0Q
USC00216920           0Q     0Q     0Q     0Q     1Q    14Q    36Q    23Q     6Q     0Q     0Q     0Q
USC00217087           0R     0R     0R     0R     1R    10R    21R    16R     4R     0R     0R     0R
USC00217107           0S     0S     0S -7777S     3S    30S    61C    37S     7S     1S     0S     0S
USC00217149           0S     0S     0R -7777S     3S    22S    51S    37S     6S -7777S     0S     0S
USC00217184           0R     0R     0R -7777R     3R    23R    57R    33R     5R     1R     0R     0R
USC00217326           0S     0S -7777S -7777S     6S    40S    74S    44S     9S -7777S     0S     0S
USC00217377           0R     0R     0R     1R     4R    36R    80R    53R    11R -7777R     0R     0R
USC00217379           0Q     0Q     0Q -7777Q     4Q    29Q    70Q    43Q     9Q -7777Q     0Q     0Q
USC00217405           0S     0S     0S -7777S     6S    46S    90S    59S    11S -7777S     0S     0S
USC00217460           0Q     0Q     0Q     0Q     1Q    10Q    28Q    19Q     3Q -7777Q     0Q     0Q
USC00217502           0C     0S     0C -7777S     5C    25C    61S    35S     7S -7777S     0C     0C
USC00217907           0S     0S -7777S -7777S     7S    43S    69S    38S     9S -7777S     0S     0S
USC00217935           0Q     0Q     0Q -7777Q     5Q    37Q    91Q    58Q     8Q -7777Q     0Q     0Q
USC00218025           0R     0R     0R     1R     4R    39R    79R    43R     7R -7777R     0R     0R
USC00218037           0R     0R     0R     1R     9R    57R   119R    84R    20R     1R -7777R     0R
USC00218039           0Q     0Q     0Q -7777Q     1Q    16Q    42Q    31Q     7Q     0Q     0Q     0Q
USC00218191           0R     0S     0R -7777S     1R    10R    26R    17S     2R     0R     0R     0R
USC00218227           0R     0R -7777R     1R     3R    29R    62R    40R     9R     1R     0R     0R
USC00218247           0R     0R     0S -7777S     3R    17R    34R    28R     4R -7777R     0R     0R
USC00218254           0S     0S     0S -7777S     1S    10R    27S    20R     3R -7777R     0S     0S
USC00218307           0Q     0Q     0Q -7777Q -7777Q     7Q    18Q    12Q     2Q     0Q     0Q     0Q
USC00218311           0S     0S     0S -7777S -7777S     4S    12S     6S     2S     0S     0S     0S
USC00218323           0S     0S     0S -7777S     7S    45S    84S    50S    12S -7777S     0S     0S
USC00218419           0C     0C     0S     0C     0C     1C     9C     8C     1C     0C     0C     0C
USC00218421           0R     0R     0R     0R     0R     2R     9R     4R     1R     0R     0R     0R
USC00218429           0R     0R     0R -7777R     3R    28R    59R    38R    10R -7777R     0R     0R
USC00218450           0R     0R     0R     1R    10R    44R    98R    59R    15R     1R     0R     0R
USC00218477           0S     0S -7777S     1S    11R    55S   116R    72S    13S     1S     0S     0S
USC00218579           0S     0S     0S -7777S     1S    10S    23S    15S     3S -7777S     0S     0S
USC00218618           0S     0S     0S     0S     1S    13S    31S    21S     2R     0S     0S     0S
USC00218621           0Q     0Q     0Q     0Q     0Q     2Q    18Q    13Q     2Q     0Q     0Q     0Q
USC00218679           0C     0S     0S     0S     1S    10S    21S    14C     2S -7777S     0C     0C
USC00218692           0S     0C -7777C     1C     8C    44C    72C    45C    11C     1C     0C     0S
USC00218700           0R     0R     0R     0R -7777R     7R    17R    12R     2R -7777R     0R     0R
USC00218808           0R     0R     0R -7777R     7R    43R    78R    44R    12R     1R     0R     0R
USC00218907           0S     0S     0S -7777S     3S    29S    65S    45S     6S -7777S     0S     0S
USC00218947           0Q     0Q     0Q     0Q     2Q    19Q    54Q    38Q     6Q -7777Q     0Q     0Q
USC00218986           0R     0R     0R -7777R     3R    15R    43R    25R     4R -7777R     0R     0R
USC00219004           0S     0S     0S -7777S     6S    35S    68S    37S     6S -7777S     0S     0S
USC00219033           0C     0C -7777C -7777C     7C    50C   102S    58S    13S -7777C     0C     0C
USC00219046           0S     0S -7777S -7777S     6S    40C    74C    44C    10C     1C     0C     0C
USC00219067           0R     0R -7777R     2R     9R    56R   111R    77R    20R     2R     0R     0R
USC00219072           0R     0R     0R -7777R     4R    29R    63R    46R     9R     1R     0R     0R
USC00219101           0R     0R     0R     0R     1R     7R    22R    15R     2R     0R     0R     0R
USC00219134           0R     0R     0R     0R     0R     3R    13R     6R     1R     0R     0R     0R
USC00219170           0C     0C -7777S -7777C     4S    34C    68C    39C     8C -7777S     0C     0C
USC00219173           0S     0S     0S     0S -7777S     5S    19S    11S     2S -7777S     0S     0S
USC00219249           0S     0S -7777C -7777C     2C    25C    48C    27C     5C -7777C     0S     0C
USC00220021       -7777S     0S     1S     6S    51S   175S   276S   265S   115S    12S     1S -7777S
USC00220488       -7777R     0S -7777S     6S    52S   170S   251S   231S    99S    14S -7777S -7777S
USC00220521       -7777R -7777S     2S     8S    61S   178S   245S   238S   129S    23R     2S     1R
USC00220585       -7777R -7777R     2R    15R    94R   233R   299R   296R   177R    35R     4R     1R
USC00220660       -7777S -7777S     2S    17S    96S   243S   319C   310C   159C    27C     2C -7777S
USC00220792           0R -7777R     2R    24R   137R   261R   330R   329R   212R    58R     6R -7777R
USC00220955           0R     0R -7777S     3S    27S   123S   214S   199S    73S     6S -7777S     0S
USC00221094       -7777S -7777C     2C    12C    67C   193S   268S   263C   136C    24C     2S     1S
USC00221111           0Q -7777Q -7777Q     8Q    79Q   230Q   324Q   289Q   132Q    17Q     1Q     0Q
USC00221314           0S -7777S     1S     6C    46C   156C   260C   249S    99S    12C -7777S     0S
USC00221389       -7777R -7777R     2R    10R    63S   188S   274S   263R   130S    19R     1R -7777S
USC00221489       -7777R -7777S     2S     8S    55S   176S   269S   256S   118S    15S     1R -7777R
USC00221606       -7777R -7777R     1R     9R    54R   177R   272R   255R   110R    12R     1R -7777R
USC00221707           0S -7777S -7777S     7S    68S   203C   281C   263C   119S    14S -7777C -7777S
USC00221738           0R     0R -7777R    13R    73R   218R   313R   312R   156R    26R     1R -7777R
USC00221743           0R -7777R     1R    10R    79R   221R   309R   281R   122R    17R     2R -7777R
USC00221852       -7777S -7777S     2S    10S    64S   189S   270S   262S   129S    21C     2S     1S
USC00221865       -7777R -7777R     5R    18R    99R   232R   305S   301S   171S    39S     5S     2S
USC00221880       -7777R -7777R     2R    11R    69S   195S   301R   285S   130S    18S     1R -7777R
USC00221962           0S     0S -7777S     3S    32C   131C   228S   210S    75S     7S -7777S     0S
USC00222094       -7777R -7777R     3R    19R   109R   231R   302R   322R   187R    37R     3R     1R
USC00222282           0Q     0Q -7777Q     2Q    32Q   143Q   254Q   223Q    94Q     4Q -7777Q     0Q
USC00222385       -7777R -7777S     2S     8S    59C   173C   253C   243C   116S    19S     2S     1R
USC00222896       -7777S     0S     1S     5S    41S   148S   238S   229S    95S     9S -7777S -7777R
USC00223107       -7777S -7777S     1S     8S    51S   167S   251S   247S   115S    17S     1S -7777S
USC00223208           0C -7777C -7777C     4C    35C   137C   227C   222S    84C     7C -7777C -7777C
USC00223605       -7777S     0R     2S    13R    82R   223R   314S   289R   137R    19S     1S -7777R
USC00223645       -7777S -7777S     1S     6S    39S   152S   239S   229S    95S    10S     1S -7777S
USC00223671       -7777S -7777S     2S    20S   115S   237S   307R   301R   189S    50R     4R -7777R
USC00223887       -7777C -7777S     3C    17C    89C   221C   298S   297C   170C    36S     4C     1C
USC00223920       -7777S     1S     4C    15C    83S   211S   288C   280C   156C    34C     4S     1S
USC00223975           0R -7777R     1S    13R    77S   222S   324S   310S   142S    22R     1R -7777R
USC00224001           0S -7777S -7777C     3S    31S   132S   223S   212C    80C     6S -7777S -7777C
USC00224173           0S     0S -7777S     3S    30S   124S   212S   190S    70S     6S -7777S     0S
USC00224265           0R     0R -7777R     3R    30R   122R   199R   185R    75R     7R -7777R -7777R
USC00224377       -7777R -7777R     1R     5R    39R   150R   232R   217R    87R     9R     1R     0R
USC00224455           0S     0S -7777S     2S    20S   107S   185S   175S    61S     4S -7777S -7777S
USC00224702       -7777R     0R     2R     4R    43R   161R   240R   237R    99R    12R     1R -7777R
USC00224776       -7777R -7777R     1R     5R    41R   156R   238R   233R    98R     9R -7777S -7777S
USC00224869           0Q -7777Q     2Q     8Q    83Q   228Q   315Q   295Q   124Q    21Q     1Q     0Q
USC00224939       -7777S -7777S     2S    13S    77S   203S   284S   272S   139S    25S     2S     1S
USC00225062       -7777S -7777S -7777S     4S    39S   142S   226R   223S    93S    12S     1S -7777S
USC00225070       -7777R -7777R     3R    11R    78R   198R   270R   257R   141R    29R     1R     1R
USC00225247           0S -7777S     1S     5S    50S   166S   247S   241S   112R    13S     1S -7777S
USC00225361           0R -7777R -7777R     7R    66R   193R   271R   263R   120R    15R     1R -7777R
USC00225704       -7777S -7777R     5S    18R    91S   217S   282S   274S   150S    33R     4S     1S
USC00225789       -7777R -7777R     7R    15R    82R   210R   280R   269R   147R    31R     4R     2R
USC00225897       -7777R -7777R     2R    18R    89R   220S   310R   296R   135R    19R     2R -7777R
USC00225987       -7777R -7777R     5R    17R    87R   226R   307S   298R   164R    33R     4R     1R
USC00226009       -7777S -7777S     1S    13S    84S   225S   313S   310S   153S    26S     1S -7777S
USC00226177       -7777S     1S     3S    15S    76C   192S   271C   265S   133C    27C     3S     1C
USC00226308       -7777S -7777S     1S     6S    52S   173S   259S   243S   114S    15S     1S     1S
USC00226476       -7777S -7777S     2S    14S    85S   217S   308S   287S   145S    29S     2R     1R
USC00226527           0R     0R     1R     3R    35R   152R   242R   234R    85R     7R -7777R     0R
USC00226638           0Q -7777Q     3Q    15Q    90Q   226Q   310Q   315Q   151Q    26Q     1Q     0Q
USC00226718       -7777S     0R     1S    10S    71S   193S   273S   265S   159S    36S     3S     1S
USC00226811       -7777R -7777R     5R    17R    70R   193R   284R   274R   143R    23R     4R     1R
USC00226894       -7777S -7777S     2S    12S    73S   204S   296S   289S   149S    22S     2S     1S
USC00226921       -7777R -7777R     4R    18R    92R   215R   285R   280R   168R    41R     4R     2R
USC00226926       -7777R -7777R     1R     8R    51R   168R   253R   237R   109R    17R     1R -7777R
USC00227111           0S     0S -7777S     3S    40S   141S   228S   218S    88S     9S -7777S -7777S
USC00227128       -7777S -7777S     3S    14S    91S   214S   276S   272R   153S    30S     3S     1S
USC00227132       -7777S -7777S     3S    11S    65S   184S   261S   261S   128S    19S     1S     1S
USC00227252       -7777R -7777R     2R    10R    67R   195R   264R   260R   127R    18R     1R     1R
USC00227276       -7777Q -7777Q     2Q     5Q    53Q   157Q   244Q   236Q   102Q    17Q     1Q -7777Q
USC00227444       -7777R -7777R     2R     7R    52R   154R   236R   224R   109R    19R     2R     1R
USC00227467           0S     0S -7777S     3S    32S   128S   218S   204S    74S     5S -7777S     0R
USC00227560       -7777C -7777C     3C    18C    98C   240S   321C   302C   152C    28C     2C     1C
USC00227815           0Q -7777Q -7777Q     8Q    61Q   195Q   306Q   294Q   120Q    10Q -7777Q     0Q
USC00227831       -7777Q -7777Q     1Q    10Q    75Q   203Q   290Q   284Q   124Q    24Q     1Q     0Q
USC00227840       -7777S     1S     5S    24S   118S   248S   319S   313S   196S    54S     7S     2S
USC00227921           0Q -7777Q -7777Q     5Q    51Q   179Q   274Q   260Q    97Q    10Q     1Q     0Q
USC00228374           0S -7777S     1S     7S    59S   186S   282C   261S   111S    11S     1S -7777S
USC00228445       -7777S -7777S     1C    18S    95S   237S   312S   292C   142S    22S     2S -7777S
USC00228998           0S     0S     1S    13S    81S   231C   315C   286S   130C    18C     1C -7777S
USC00229004           0Q     0Q -7777Q     6Q    51Q   175Q   276Q   268Q   100Q    11Q     1Q     0Q
USC00229048       -7777S -7777S     3R    13R    86R   211R   285R   289R   163R    35R     5R     1R
USC00229079           0S -7777C     1C     8S    56C   181C   272C   254C   109C    12C     1C -7777S
USC00229173           0R     0R -7777R     6R    61R   187R   281R   267R   119R    13R     1R -7777R
USC00229216       -7777R -7777R     2R    12R    67R   203R   288R   274R   148R    26R     2R -7777R
USC00229230       -7777Q -7777Q     1Q    10Q    83Q   220Q   307Q   294Q   139Q    28Q     3Q -7777Q
USC00229400           0S -7777S -7777S     3S    38S   146S   234S   233S   100S    10S -7777S -7777S
USC00229426       -7777S -7777S     1S    17S   101S   227S   296S   293S   180S    44S     4S -7777S
USC00229439       -7777S -7777S     3S    14S    76S   202S   284S   273S   142S    23S     2S     1R
USC00229639       -7777R -7777R     3R    12R    77R   200R   268R   278R   150R    27R     3R -7777R
USC00229743           0C -7777C     1C     3C    30C   129C   212S   206S    86C     9C -7777S -7777S
USC00229793       -7777S -7777S     2S    16S    92S   215S   296S   298S   159S    38S     4S -7777R
USC00229860       -7777S -7777S     2R    13S    76S   204S   292S   287S   144S    25S     2S -7777R
USC00230051           0Q     0Q -7777Q     1Q     8Q    68Q   181Q   148Q    21Q -7777Q     0Q     0Q
USC00230127           0R     0R -7777R     4R    15R    92R   191R   165R    39R     3R -7777R     0R
USC00230143           0S     0S -7777S     1S    11S    76S   161S   136S    35S     2S     0S     0S
USC00230163           0Q     0Q     0Q     0Q     4Q    63Q   204Q   199Q    44Q -7777Q     0Q     0Q
USC00230164           0S -7777S -7777S     4S    14S    72S   172S   167S    47S     3S -7777S     0S
USC00230204           0S     0S -7777S     1S    14S    92S   196S   176S    47S     3S -7777S     0S
USC00230224           0R     0R -7777R     2R     6R    67R   142R   132R    31R     1R -7777R     0R
USC00230304           0Q     0Q -7777Q     3Q     8Q    81Q   202Q   194Q    44Q     3Q     0Q     0Q
USC00230360           0Q     0Q -7777Q     1Q     8Q    59Q   154Q   146Q    28Q     3Q     0Q     0Q
USC00230368           0Q     0Q     0Q     1Q     7Q    59Q   157Q   160Q    33Q     1Q -7777Q     0Q
USC00230608           0R     0R     0R     1S     7S    62S   145S   118S    28S     2S     0S     0S
USC00230657           0C     0S -7777C     2C    13C    85C   191S   187S    55R     2S     0S     0C
USC00230789           0S     0S -7777S     3S    17C    93S   194C   184S    55C     3S -7777S     0S
USC00230817           0S     0S -7777S     4S    22S   120S   223S   187S    56S     3S -7777R     0S
USC00230856           0R     0R -7777R     3R    13R    73R   158R   136R    38R     2R -7777R     0R
USC00230980           0S     0S     0S     1S    11S    75S   158S   134S    35S     2S -7777S     0S
USC00231037           0S     0S -7777S     1S    12S    76S   160S   137S    38S     3S -7777S     0S
USC00231087           0R     0R -7777R     1R     8R    55R   145R   143R    34R     2R -7777R     0R
USC00231101           0R     0R     0R     1R     4R    42R    89R    95R    22R -7777R     0R     0R
USC00231145           0S     0S -7777S     2S    19S   104S   224S   194S    56S     4S -7777S     0S
USC00231189           0C     0C -7777C     2S    13C    84C   183C   170C    47C     3C -7777C     0C
USC00231212           0R     0R     1R     7R    19R   109R   225R   208R    71R     4R -7777R     0R
