USC00015439          39S    33S    38S    27C    22S    29S    26S    29R    23S    26R    35C    46S
USC00015553          37R    32R    35R    25R    17R    36R    21R    33R    29R    18R    27R    44R
USC00015635          44S    41S    34S    31S    24S    26S    22S    33S    28S    29S    35S    47S
USC00016121          45S    42S    31R    32R    24R    27R    22R    33S    28S    27R    39R    45R
USC00016129          37S    34S    36R    25R    20R    27R    24R    24R    24R    24S    31S    41S
USC00016478          42C    38C    34C    32C    27C    29C    28C    37S    30C    32C    38C    46C
USC00016988          36S    30S    32S    24S    18S    19S    16S    20S    18S    19S    28S    39S
USC00017020          38R    35R    34R    26R    21R    29R    26R    29R    24R    23R    32R    42R
USC00017025          39R    36R    35R    33R    25R    30R    22R    30R    29R    26R    33R    45R
USC00017131          43S    41S    36S    36S    25S    31S    21S    36S    28S    28S    33S    48S
USC00017157          44S    38S    37S    32S    23S    25S    24S    32S    27S    29S    38S    48S
USC00017207          38C    39C    36C    33S    24S    28C    23C    31C    28S    28C    39C    46S
USC00017304          36S    36C    38S    35C    27R    27S    22S    31S    26S    28S    42S    45S
USC00017366          37S    35C    33C    25C    19C    26S    21C    27C    21S    24C    34C    45S
USC00017999          41S    35S    38S    30S    22S    25S    23S    27S    24S    25S    35S    45S
USC00018024          41S    39S    38S    28S    22S    28S    26S    31S    24S    21S    36S    43S
USC00018178          35S    35S    36S    26S    23S    22S    20S    30S    23S    25S    32S    40S
USC00018209          42S    33S    36S    27S    19C    28C    23C    30C    25S    21C    29S    43S
USC00018323          37S    34S    37S    24S    22R    26S    24S    25S    21S    23S    35S    43S
USC00018380          40S    36S    32S    29S    23S    28S    25S    32S    24S    24S    32S    45S
USC00018438          41C    34S    35C    26C    19C    27C    23C    25C    22S    23C    34C    45S
USC00018469          43C    36C    39C    33C    27C    26C    21C    30C    28C    26C    38C    47C
USC00018517          40S    35S    34S    34S    23S    27S    23S    37S    24R    26S    35R    44S
USC00018867          38R    30R    36R    25R    18R    25R    20R    27R    21R    26R    29R    38R
USC00018998          41S    37S    34S    32S    24S    24S    24S    33S    26S    28S    36S    45S
USC00020060          35R    37R    39R    39R    38R    28R    22R    20R    26R    36R    41R    31R
USC00020100          32C    36C    42C    39C    37C    29S    25C    22C    29C    36C    43C    29C
USC00020159          35S    41S    35S    36S    37S    27S    26S    19S    25S    37S    41S    36R
USC00020287          34S    37S    34S    33S    28S    22S    24S    18S    23S    31S    41C    31S
USC00020288          33R    33R    38R    32R    31R    23R    18R    19R    28R    32R    41R    29R
USC00020586          39R    41R    43R    39R    38R    28R    22R    20R    25R    41R    40R    35R
USC00020632          34R    38R    42R    40R    32R    27R    19R    21R    28R    36R    45R    34R
USC00020670          34R    37R    45R    38R    38R    36R    28R    18R    30R    30R    51R    34R
USC00020672          37S    35S    46R    44S    40S    37R    27R    21R    29R    37R    39R    29S
USC00020678          50R    31R    47R    39R    35R    32R    35R    18R    26R    38R    42R    35R
USC00020683          36R    31R    35R    31R    29R    22R    25R    21R    25R    30R    39R    32R
USC00020750          39S    38S    38S    41S    37S    32S    31S    25S    28S    35S    44S    31S
USC00020775          37R    32R    26R    33R    30R    25R    29R    18R    26R    26R    31R    34R
USC00020808          37S    37S    36S    35S    27S    26S    21S    20S    25S    33S    40S    37S
USC00020871          34R    33R    35R    38S    39S    29S    19S    20S    26S    39R    45R    34R
USC00020949          32C    32C    38S    35C    35C    26C    21C    20C    26C    33C    38C    29C
USC00020958          39S    35S    30S    30S    29S    20S    22S    18S    22S    28S    32S    31S
USC00021001          38S    39R    39R    41R    42R    38S    32S    27S    28S    37S    38R    28R
USC00021026          30R    34R    37R    33R    30R    26R    20R    18R    22R    31R    34R    28R
