USC00017025          37R    30R    27R    28R    26R    18R    15R    25R    22R    28R    32R    41R
USC00017131          41R    34R    32R    31R    27R    23S    15R    28R    23R    29R    32R    48R
USC00017157          42R    37R    30R    31R    24R    17R    15R    26R    22S    30R    31R    43S
USC00017207          40C    32C    30C    30S    23S    19C    15C    24C    20S    28C    34C    45S
USC00017304          37S    30C    33S    29C    27R    19S    17S    26S    21S    30S    34S    44S
USC00017366          36R    32S    29R    24S    20S    19S    15C    21C    18S    23R    31R    44R
USC00017999          39S    30S    31S    28S    23S    18S    15S    22S    21S    32S    33S    42S
USC00018024          38S    30S    29S    27S    23S    17S    20S    23S    19S    26S    31S    41S
USC00018178          35S    31S    31S    27S    22S    16S    13S    22S    18S    24S    30S    41S
USC00018209          40S    28S    32S    26S    21S    19C    16S    22C    22S    22S    32S    43S
USC00018323          36S    31S    32S    24S    21R    17R    16S    20S    18S    26S    33S    42S
USC00018380          37S    30S    29S    27S    23S    20S    18S    24S    20S    27S    28S    42S
USC00018438          39C    30S    30C    26C    21C    16C    14C    17C    17S    27C    34C    43S
USC00018469          44S    30S    33S    30S    28S    17S    14S    22S    21S    30S    33S    45S
USC00018517          40R    31S    30S    34S    26S    20S    16S    27S    22R    29R    31R    44R
USC00018867          38R    30R    31R    27R    22R    19R    14R    19R    19R    30R    28R    41R
USC00018998          42R    33R    29R    30S    23S    16S    16S    25S    22R    30R    34R    43R
USC00020060          22R    24R    25R    32R    34R    27R    20R    15R    22R    27R    30R    20R
USC00020100          23C    25C    29C    31C    32C    25S    22C    17S    24S    26S    30S    18S
USC00020159          31S    33R    22S    24S    24S    22S    17S    16S    18S    23R    25S    30R
USC00020287          23S    25S    24S    29S    25S    25S    16S    15S    21S    22S    32S    21S
USC00020288          25R    26R    29R    30R    28R    23R    17R    15R    24R    27R    34R    20R
USC00020586          27R    28R    32R    35R    34R    26R    22R    16R    20R    32R    33R    26R
USC00020632          19R    26R    33R    33R    31R    28R    19R    18R    24R    31R    36R    23R
USC00020670          22R    20R    30R    28R    24R    24R    20R    17R    23R    24R    33R    23R
USC00020672          30S    27S    34R    35S    37S    33R    27R    22R    26R    32R    33R    24S
USC00020678          39R    22R    25R    24R    26R    27R    29R    14R    15R    22R    28R    30R
USC00020683          20R    22R    24R    26R    23R    25R    18R    16R    18R    19R    27R    17R
USC00020750          37S    30S    32S    35S    32S    30S    24S    21S    26S    33S    38S    29S
USC00020775          24R    25R    21R    26R    24R    24R    18R    14R    21R    22R    27R    23R
USC00020808          26R    25R    26S    27S    21S    22S    14S    15S    23S    25S    32S    24S
USC00020871          28R    25R    24R    28R    30S    25S    15S    15S    20S    27R    27R    27R
USC00020949          23S    23S    26S    29S    28S    23S    21S    16S    24S    27S    28S    20S
USC00020958          23S    23S    23S    29S    25S    26S    15S    15S    18S    19S    22S    18S
USC00021001          31S    30R    28R    32R    31R    29S    24S    18S    19S    27S    33R    24R
USC00021026          20R    27R    24R    30R    27R    23R    18R    15R    22R    28R    25R    21R
USC00021050          24S    22S    32S    30S    32S    23S    22S    19S    22S    26C    33S    22S
USC00021169          23R    32R    28R    27R    26R    26R    21R    17R    19R    25R    27R    38R
USC00021231          25S    22S    22S    25S    24S    23S    14S    14S    18S    16S    25S    20S
USC00021248          42S    25S    24S    29S    26S    25S    20S    15S    21S    22S    25S    36S
USC00021282          26R    27R    34R    30R    31S    25S    18S    16R    24R    26R    34R    21R
USC00021306          20R    24R    28R    30R    31R    24R    18R    16R    24R    26R    30R    19R
USC00021314          21S    23S    29S    30S    29S    26S    17S    16S    24S    27S    32S    17S
USC00021330          22S    24S    24S    28S    22S    22S    15S    16S    19S    22S    30S    18S
USC00021353          24S    27S    28S    32S    32S    28S    19S    15S    20S    28S    34S    20S
USC00021514          23R    24R    31R    30S    27R    23R    16R    15R    24R    20R    30R    20R
USC00021574          35R    26R    30R    30R    31R    26R    17R    14R    21R    24R    29R    25R
USC00021614          22R    25R    26R    29R    29R    27R    19R    18R    22R    25R    29R    19R
USC00021664          25R    24R    22S    26R    26R    21R    17R    17R    21R    22R    28R    23R
USC00021849          26R    28R    25R    32R    24R    26R    19R    21R    21R    20R    33R    17R
USC00021920          32R    27R    30R    31R    31S    25S    23S    13R    22R    28R    32R    29R
USC00022109          26S    27S    28S    32S    31S    28S    20S    19S    24S    29S    35S    23S
USC00022140          28C    25C    24C    26S    25C    21C    17S    15S    18C    21S    28S    22S
USC00022329          30R    24R    26R    25R    27R    27R    17R    11R    20R    28R    21R    21R
USC00022434          22R    23R    27R    26R    27R    25R    24R    19R    26R    25R    28R    21R
USC00022527          24R    23R    27R    28R    31R    23R    18R    13R    17R    29R    34R    24R
USC00022659          25R    23R    20R    24R    23R    22R    13R    15R    18R    20R    24R    21R
USC00022754          20S    22S    20S    29S    25S    27S    19C    16S    23S    20S    23S    16S
USC00022790          24S    21S    27S    31S    29R    25S    17R    18S    25R    28R    28S    20S
USC00022807          21R    24R    29R    32R    27R    25R    21R    20R    27R    24R    30R    18R
USC00023009          38R    30R    26R    26R    25R    26R    22R    15R    19R    25R    30R    33R
USC00023027          22R    24R    29R    32R    30R    24R    17R    15R    24R    26R    31R    17R
USC00023150          23S    24C    25C    31C    27S    27S    19S    15S    22S    21S    26S    17S
USC00023160          28S    29S    28S    30S    28S    28S    24C    17S    21S    27S    31S    32S
USC00023190          26S    25S    30S    30S    29S    27S    20S    17S    24S    28S    36S    21S
USC00023303          37R    27R    27R    31R    28R    25R    20R    12R    25R    23R    27R    31R
USC00023393          22C    23C    27S    26S    28C    25C    20S    17C    22C    27C    30C    18S
USC00023505          23R    21R    26R    26R    27R    27R    17R    17R    23R    24R    30R    20R
USC00023596          31S    29S    27S    29S    32S    26S    23S    16S    22S    35S    35S    31S
USC00023668          25R    23R    27R    23R    24R    21R    17R    16R    18R    13R    34R    20R
USC00023683          30S    28S    26S    27S    22R    21S    13S    13S    21S    22S    33S    23S
USC00023828          27R    27R    34R    34R    31R    29S    21R    19S    22S    29R    32R    29R
USC00024053          18R    21R    23R    29R    31R    26R    24R    18R    23R    24R    26R    20R
USC00024089          34C    26S    24S    30S    26S    23S    20S    17S    21S    24S    25S    30S
USC00024453          31S    31S    35S    35S    34S    27S    21S    18S    24S    30S    35S    27S
USC00024586          36R    25R    23R    29R    29R    22R    19R    11R    23R    25R    26R    31R
USC00024645          25R    22R    31R    33R    27R    25R    19R    14R    20R    30R    28R    22R
USC00024675          33S    32S    33S    37S    30S    24S    20S    15S    24R    27R    36R    29S
USC00024686          42R    36R    28R    33R    27R    22R    15R    17R    22R    26R    30R    29R
USC00024702          29S    30S    36S    34S    33S    27S    19S    18S    25S    33S    37S    25S
USC00024759          25R    25R    27R    29R    27R    19R    16R    17R    23R    26R    22R    20R
USC00024761          23R    20R    30R    32R    32R    25R    19R    19R    29R    29R    27R    17R
USC00024829          21R    25R    28R    29R    28R    27S    23R    20R    27R    24R    31R    19R
USC00024849          28R    26R    31R    34R    27R    27R    21R    21R    19R    26R    24R    24R
USC00024977          21R    22R    27R    28R    30R    25R    20R    19R    27R    27R    31R    17R
USC00025129          40R    29R    26R    32R    27R    23R    16R    14R    20R    27R    36R    27R
USC00025270          21C    21C    27C    29C    28C    25C    19C    17C    24C    25C    27C    17C
USC00025412          32S    29S    27C    29S    28C    26C    18S    13C    23S    24S    33S    26S
USC00025512          26S    25S    28S    29S    28S    25S    17S    15R    22S    27S    34S    22S
USC00025635          21S    24S    28S    30S    25S    25S    20S    15S    19S    26S    26S    20S
USC00025665          42R    30R    29R    33R    31R    31R    19R    16R    19R    28R    31R    33R
USC00025700          21R    21R    31R    32R    26R    26R    16R    14R    20R    32R    26R    17R
USC00025780          28R    33R    26R    29R    26R    25R    21R    15R    19R    24R    29R    29R
USC00025924          21S    22S    23S    23S    25S    27S    16S    14S    21S    18S    26S    19S
USC00026037          29R    29R    32S    31R    30S    25S    15S    13S    20S    26S    33S    26S
USC00026119          26C    27C    28C    31C    28S    25S    21S    16R    21S    27S    31S    23S
USC00026132          23S    23S    30S    29S    28S    26S    14S    16S    21S    26S    31S    19S
USC00026180          34S    25S    27S    33S    29S    27S    21S    17S    18S    29S    24S    28S
USC00026250          23R    23R    29R    29R    29R    28R    23R    20R    26R    27R    27R    20R
USC00026353          22R    23R    21R    26R    22R    23R    15R    15R    20R    22R    25R    19R
USC00026468          35S    24C    24C    30S    28C    25C    19C    15C    21C    25S    27C    31S
USC00026471          23S    23S    30S    36S    29S    26S    22S    21S    22S    24S    27S    23S
USC00026513          21R    24R    29R    30R    29R    22R    14R    18R    25R    24R    34R    19R
USC00026597          32R    27R    26R    24R    24R    26R    11R    18R    21R    23R    26R    24R
